CP,P_out,P_removal,Ener_electroNP,Ener_aeration,SNOX
-1.300000000000000044e+00,4.244963789893062972e-02,8.801735028318898868e-01,1.149326141465802260e-02,4.068003231322270818e-01,8.412371330209168718e+00
-1.279166666666666785e+00,4.074250765261288459e-02,8.882770316196841875e-01,1.025416101994019481e-02,4.067826697056688978e-01,8.395663577190752846e+00
-1.258333333333333304e+00,3.942063809144325665e-02,8.948070392825399066e-01,9.082063872633163240e-03,4.067679438150515470e-01,8.381978941463234634e+00
-1.237500000000000044e+00,3.853119831183803023e-02,8.993890240328406005e-01,8.025088319607130358e-03,4.067571636800116908e-01,8.372203261229079985e+00
-1.216666666666666785e+00,3.764175853223280382e-02,9.039710087831412944e-01,6.968112766581097475e-03,4.067463835449717791e-01,8.362427580994925336e+00
-1.195833333333333304e+00,3.706315113017927265e-02,9.070498671640764288e-01,6.037287434554082510e-03,4.067388729126801272e-01,8.355764693919446984e+00
-1.175000000000000044e+00,3.662269198725236902e-02,9.094272634419980905e-01,5.195549745226728244e-03,4.067329721465599568e-01,8.350586492165557928e+00
-1.154166666666666785e+00,3.627624051766663305e-02,9.113181063608586374e-01,4.444931239634021015e-03,4.067282128614456149e-01,8.346446999640546593e+00
-1.133333333333333304e+00,3.599936390005620962e-02,9.128609231430948601e-01,3.921525728112882844e-03,4.067242203835134684e-01,8.343036249505932034e+00
-1.112500000000000044e+00,3.572248728244578619e-02,9.144037399253310827e-01,3.398120216591743806e-03,4.067202279055812664e-01,8.339625499371315698e+00
-1.091666666666666785e+00,3.544561066483536971e-02,9.159465567075674164e-01,2.874714705070605635e-03,4.067162354276491198e-01,8.336214749236699362e+00
-1.070833333333333304e+00,3.516873404722494628e-02,9.174893734898036390e-01,2.351309193549467030e-03,4.067122429497169733e-01,8.332803999102084802e+00
-1.050000000000000044e+00,3.483589191096817667e-02,9.194013537691878568e-01,2.123466819774448913e-03,4.067070767973174350e-01,8.328514559014418950e+00
-1.029166666666666785e+00,3.450304977471140705e-02,9.213133340485719636e-01,1.895624445999431014e-03,4.067019106449179522e-01,8.324225118926754874e+00
-1.008333333333333304e+00,3.417020763845463743e-02,9.232253143279561813e-01,1.667782072224413114e-03,4.066967444925184139e-01,8.319935678839089022e+00
-9.875000000000000444e-01,3.384292978108080496e-02,9.251609348785884146e-01,1.648425306242535691e-03,4.066912751252418357e-01,8.315529265804713077e+00
-9.666666666666667851e-01,3.351565192370696555e-02,9.270965554292206479e-01,1.629068540260658268e-03,4.066858057579652574e-01,8.311122852770337133e+00
-9.458333333333334147e-01,3.318837406633313308e-02,9.290321759798528811e-01,1.609711774278780845e-03,4.066803363906886792e-01,8.306716439735961188e+00
-9.250000000000000444e-01,3.303489723265746331e-02,9.299574788984301676e-01,1.724672134559606523e-03,4.066776394783105930e-01,8.304589069238492272e+00
-9.041666666666667851e-01,3.288142039898179353e-02,9.308827818170074542e-01,1.839632494840432201e-03,4.066749425659324513e-01,8.302461698741025131e+00
-8.833333333333334147e-01,3.293806260273990372e-02,9.305400030535848632e-01,2.015924317008643829e-03,4.066759479127752264e-01,8.303251338111547142e+00
-8.625000000000000444e-01,3.318950320051031883e-02,9.290253999256679052e-01,2.224426926501664719e-03,4.066803559889465292e-01,8.306731980903661494e+00
-8.416666666666667851e-01,3.368141775599917120e-02,9.260950023065982473e-01,2.458733213218472664e-03,4.066887309146967056e-01,8.313427486152228596e+00
-8.208333333333334147e-01,3.463930723881762652e-02,9.205868103696793758e-01,2.719395415965361433e-03,4.067036474463321394e-01,8.325792740208743936e+00
-8.000000000000000444e-01,3.559719672163608184e-02,9.150786184327605044e-01,2.980057618712250635e-03,4.067185639779675177e-01,8.338157994265259276e+00
