CP,r_AV
-1.300000000000000044e+00,6.500000000000000222e-02
-1.279166666666666785e+00,6.833333333333332926e-02
-1.258333333333333304e+00,7.166666666666667018e-02
-1.237500000000000044e+00,7.499999999999999722e-02
-1.216666666666666785e+00,7.833333333333333814e-02
-1.195833333333333304e+00,8.166666666666666519e-02
-1.175000000000000044e+00,8.499999999999999223e-02
-1.154166666666666785e+00,8.833333333333333315e-02
-1.133333333333333304e+00,9.166666666666666019e-02
-1.112500000000000044e+00,9.500000000000000111e-02
-1.091666666666666785e+00,9.833333333333332815e-02
-1.070833333333333304e+00,1.016666666666666552e-01
-1.050000000000000044e+00,1.049999999999999961e-01
-1.029166666666666785e+00,1.083333333333333370e-01
-1.008333333333333304e+00,1.116666666666666641e-01
-9.875000000000000444e-01,1.149999999999999911e-01
-9.666666666666667851e-01,1.183333333333333182e-01
-9.458333333333334147e-01,1.216666666666666591e-01
-9.250000000000000444e-01,1.250000000000000000e-01
-9.041666666666667851e-01,1.283333333333333270e-01
-8.833333333333334147e-01,1.316666666666666541e-01
-8.625000000000000444e-01,1.350000000000000089e-01
-8.416666666666667851e-01,1.383333333333333082e-01
-8.208333333333334147e-01,1.416666666666666630e-01
-8.000000000000000444e-01,1.449999999999999900e-01
