r_AV,P_out,P_removal,Ener_electroNP,Ener_aeration,SNOX
7.000000000000000666e-02,1.070724301501120995e-01,7.151460709767790691e-01,1.638302819282804260e-03,4.070914379807047956e-01,8.695273822715657630e+00
7.291666666666667129e-02,8.889673816273331586e-02,7.444510553604922753e-01,1.611025965615517754e-03,4.070506518557741593e-01,8.652997501524719581e+00
7.583333333333333592e-02,7.562661291597586044e-02,7.718121917043910818e-01,1.630909395806017350e-03,4.070055638841571510e-01,8.610210473989440061e+00
7.875000000000001443e-02,6.561377855175450080e-02,7.971253246993899033e-01,1.694060550133514318e-03,4.069607426718652166e-01,8.568020813236440603e+00
8.166666666666667906e-02,5.788471677565084489e-02,8.203092466052229748e-01,1.795684843955958369e-03,4.069181891567846820e-01,8.527261372270258377e+00
8.458333333333334370e-02,5.182637817904566652e-02,8.413052736693003020e-01,1.930230273956111495e-03,4.068785380079865677e-01,8.488593275502488211e+00
8.750000000000000833e-02,4.752605250626243394e-02,8.589556826130975153e-01,2.101565100355363026e-03,4.068432213277658471e-01,8.454113131826234806e+00
9.041666666666667296e-02,4.322572683347920830e-02,8.766060915568947287e-01,2.272899926754614556e-03,4.068079046475451266e-01,8.419632988149981401e+00
9.333333333333333759e-02,4.020659816650713064e-02,8.908967145379576014e-01,2.467337812175009974e-03,4.067768199708451937e-01,8.390197761858372516e+00
9.625000000000000222e-02,3.783232725229816740e-02,9.029677554001428463e-01,2.667582757580158701e-03,4.067488002780316747e-01,8.364588310113724390e+00
9.916666666666668073e-02,3.599734575267091868e-02,9.128538007187411152e-01,2.866275927209256582e-03,4.067243026867029543e-01,8.343071116674124710e+00
1.020833333333333315e-01,3.482443264586090187e-02,9.195628437234674157e-01,3.048029091994888546e-03,4.067062668367866785e-01,8.328047940919610426e+00
1.050000000000000100e-01,3.365151953905088505e-02,9.262718867281937163e-01,3.229782256780520510e-03,4.066882309868703471e-01,8.313024765165097918e+00
1.079166666666666746e-01,3.303924224110270369e-02,9.299291514261019964e-01,3.380440199183562620e-03,4.066777323890950480e-01,8.304656765566161170e+00
1.108333333333333393e-01,3.275539304788617490e-02,9.316475582403781486e-01,3.501457008896104693e-03,4.066726890831811603e-01,8.300697364235666953e+00
1.137500000000000178e-01,3.277885950530954468e-02,9.315049354377679114e-01,3.586697296059007840e-03,4.066731104347801051e-01,8.301026663394965865e+00
1.166666666666666685e-01,3.324159082693840805e-02,9.287322682653833539e-01,3.607416743947053708e-03,4.066811117781972129e-01,8.307381150167852724e+00
1.195833333333333470e-01,3.370432214856727143e-02,9.259596010929986853e-01,3.628136191835099576e-03,4.066891131216143207e-01,8.313735636940741358e+00
1.225000000000000117e-01,3.460281357271080549e-02,9.207197115181892100e-01,3.575128775271202170e-03,4.067035969108848681e-01,8.325579599879098680e+00
1.254166666666666763e-01,3.580104743452013072e-02,9.139420316383959353e-01,3.468065181204508639e-03,4.067215068122665422e-01,8.340671271656622920e+00
1.283333333333333548e-01,3.731486170451081552e-02,9.057043722288664611e-01,3.304270840202884474e-03,4.067421729041199585e-01,8.358682396971275352e+00
1.312500000000000056e-01,3.935388716272967408e-02,8.954256948787134851e-01,3.052171523550713424e-03,4.067658685328627843e-01,8.380417427674146325e+00
1.341666666666666563e-01,4.139291262094853263e-02,8.851470175285605091e-01,2.800072206898541940e-03,4.067895641616056102e-01,8.402152458377015520e+00
1.370833333333333348e-01,4.403302767232628728e-02,8.729691699316916020e-01,2.458665116671969464e-03,4.068155277429942318e-01,8.426978580294383292e+00
1.400000000000000133e-01,4.714453994547081889e-02,8.596153069980311257e-01,2.058537887234289550e-03,4.068427359266104104e-01,8.453465034042858761e+00
