BOD5_max,LCOW,SEC,Ener_aeration,SEC_electroNP,Ne_SEC
5.499999999999999681e-03,6.769492431086868711e-01,2.056457701403766603e+00,1.990504830106247569e+00,2.719649273801221911e-03,4.771972992111750966e-01
5.607142857142856547e-03,6.769492431086868711e-01,2.056457701403766603e+00,1.990504830106247569e+00,2.719649273801221911e-03,4.771972992111750966e-01
5.714285714285714281e-03,5.375595077739000471e-01,6.561376807314811543e-01,5.919922390422068803e-01,1.591930339374655412e-03,4.771972992111750966e-01
5.821428571428571147e-03,5.250313824419104991e-01,5.152361522484081302e-01,4.503102247023135218e-01,2.225012419459545827e-03,4.771972992111750966e-01
5.928571428571428013e-03,5.188975120763559268e-01,4.580076949294368260e-01,3.933183204395359067e-01,1.990546944093598593e-03,4.771972992111750966e-01
6.035714285714285747e-03,5.181032772076097359e-01,4.282713005623354219e-01,3.638043674829981033e-01,1.487892562940145444e-03,4.771972992111750966e-01
6.142857142857142613e-03,5.181032771656740588e-01,4.282712737561106819e-01,3.638043405787349527e-01,1.487892331988861089e-03,4.771972992111750966e-01
6.250000000000000347e-03,5.185595598092161973e-01,4.337872409777561722e-01,3.695076377378516685e-01,1.367162521671087295e-03,4.771972992111750966e-01
6.357142857142857213e-03,5.181032772074938286e-01,4.282712683702206702e-01,3.638043351737995645e-01,1.487892280009541802e-03,4.771972992111750966e-01
6.464285714285714080e-03,5.181032772074954940e-01,4.282712675234250366e-01,3.638043343239237837e-01,1.487892272567669164e-03,4.771972992111750966e-01
6.571428571428571813e-03,5.181032770819047339e-01,4.282712663238434359e-01,3.638043331183661855e-01,1.487892275955955993e-03,4.771972992111750966e-01
6.678571428571428679e-03,5.181032771865828890e-01,4.282712665246617423e-01,3.638043333212602204e-01,1.487892266108768258e-03,4.771972992111750966e-01
6.785714285714285546e-03,5.181032772074933845e-01,4.282712663755293692e-01,3.638043331718546769e-01,1.487892262477873845e-03,4.771972992111750966e-01
6.892857142857143279e-03,5.181032772074937176e-01,4.282712661773636076e-01,3.638043329729696018e-01,1.487892260734878774e-03,4.771972992111750966e-01
7.000000000000000146e-03,5.181032772074927184e-01,4.282712660218180312e-01,3.638043328168564794e-01,1.487892259369667227e-03,4.771972992111750966e-01
