COD_max,LCOW,SEC,Ener_aeration,SEC_electroNP,Ne_SEC
9.500000000000000111e-02,5.945421805061310572e-01,1.155865771475958592e+00,1.090935625943683318e+00,1.574531293956171795e-03,4.771972992111750966e-01
9.526315789473684126e-02,5.505661069995275714e-01,7.305460505458108988e-01,6.655537990483934019e-01,1.894391387933973400e-03,4.771972992111750966e-01
9.552631578947368141e-02,5.346108340263063807e-01,6.204376775488363860e-01,5.562959964383803468e-01,1.536623241330820110e-03,4.771972992111750966e-01
9.578947368421052155e-02,5.261070043613589320e-01,5.398339930665185804e-01,4.753384622718063723e-01,1.944748533225636655e-03,4.771972992111750966e-01
9.605263157894737558e-02,5.214186946280346957e-01,4.875933585596285424e-01,4.229280334939943264e-01,2.041841776070250133e-03,4.771972992111750966e-01
9.631578947368421573e-02,5.186699879461001972e-01,4.532173961913720794e-01,3.886357758126630646e-01,1.847282638762896747e-03,4.771972992111750966e-01
9.657894736842105587e-02,5.181032771657330116e-01,4.282714726503715763e-01,3.638045401962493597e-01,1.487894080144244128e-03,4.771972992111750966e-01
9.684210526315789602e-02,5.181032788044216408e-01,4.282713336707903440e-01,3.638043999856960253e-01,1.487893442527650923e-03,4.771972992111750966e-01
9.710526315789473617e-02,5.181032771854189312e-01,4.282712721468989736e-01,3.638043389639285530e-01,1.487892315653069428e-03,4.771972992111750966e-01
9.736842105263157632e-02,5.181032772074944948e-01,4.282712694964013189e-01,3.638043363040748823e-01,1.487892289908916959e-03,4.771972992111750966e-01
9.763157894736843034e-02,5.181032772074941617e-01,4.282712680732728150e-01,3.638043348757719619e-01,1.487892277399887773e-03,4.771972992111750966e-01
9.789473684210527049e-02,5.189289698899001158e-01,4.572702927760586844e-01,3.927108009682756529e-01,1.854291680638148155e-03,4.771972992111750966e-01
9.815789473684211064e-02,5.181032772074922743e-01,4.282712666300554916e-01,3.638043334273075025e-01,1.487892264714131031e-03,4.771972992111750966e-01
9.842105263157895079e-02,5.181032772074922743e-01,4.282712662139779858e-01,3.638043330097135986e-01,1.487892261060432594e-03,4.771972992111750966e-01
9.868421052631579093e-02,5.181032772074928294e-01,4.282712659008031664e-01,3.638043326954015222e-01,1.487892258306170931e-03,4.771972992111750966e-01
9.894736842105263108e-02,5.181032771865813347e-01,4.282712655446082040e-01,3.638043323376438654e-01,1.487892257493780845e-03,4.771972992111750966e-01
9.921052631578947123e-02,5.181032771606142173e-01,4.282712652097429018e-01,3.638043320012258053e-01,1.487892257432729421e-03,4.771972992111750966e-01
9.947368421052632526e-02,5.181032771865828890e-01,4.282712651883276989e-01,3.638043319800664532e-01,1.487892254363579018e-03,4.771972992111750966e-01
9.973684210526316540e-02,5.181032771865834441e-01,4.282712762385815775e-01,3.638043430489311114e-01,1.487892372362494562e-03,4.771972992111750966e-01
1.000000000000000056e-01,5.181032771733470321e-01,4.282712707255086904e-01,3.638043378517279436e-01,1.487891990242357814e-03,4.771972992111750966e-01
