TKN_max,LCOW,SEC,Ener_aeration,SEC_electroNP,Ne_SEC
6.000000000000000125e-03,5.392087089255136467e-01,5.294641734286390511e-01,4.632244243587766430e-01,2.383260343775996711e-03,4.771972992111750966e-01
6.142857142857142613e-03,5.392087089255136467e-01,5.294641734286390511e-01,4.632244243587766430e-01,2.383260343775996711e-03,4.771972992111750966e-01
6.285714285714285969e-03,5.392087089255136467e-01,5.294641734286390511e-01,4.632244243587766430e-01,2.383260343775996711e-03,4.771972992111750966e-01
6.428571428571428457e-03,5.392087089255136467e-01,5.294641734286390511e-01,4.632244243587766430e-01,2.383260343775996711e-03,4.771972992111750966e-01
6.571428571428571813e-03,5.392087089255136467e-01,5.294641734286390511e-01,4.632244243587766430e-01,2.383260343775996711e-03,4.771972992111750966e-01
6.714285714285714302e-03,5.243470464132127251e-01,4.606308296357851106e-01,3.959680343887828080e-01,1.460527821264363032e-03,4.771972992111750966e-01
6.857142857142857657e-03,5.202577372163453839e-01,4.395042224928116248e-01,3.750403209414246430e-01,1.411420456902448203e-03,4.771972992111750966e-01
7.000000000000000146e-03,5.181032771733470321e-01,4.282712707255086904e-01,3.638043378517279436e-01,1.487891990242357814e-03,4.771972992111750966e-01
7.142857142857143501e-03,5.167812661832016374e-01,4.208753368075253687e-01,3.563293396790593870e-01,1.603890611454073098e-03,4.771972992111750966e-01
7.285714285714285990e-03,5.159001186737146583e-01,4.151894287724042232e-01,3.505404759312262808e-01,1.720563489204549957e-03,4.771972992111750966e-01
7.428571428571428478e-03,5.152831267322607323e-01,4.103035197617932450e-01,3.455546254668795392e-01,1.816868107129002196e-03,4.771972992111750966e-01
7.571428571428571834e-03,5.148365771542008362e-01,4.059643910827903102e-01,3.411314694678478365e-01,1.885689669755561196e-03,4.771972992111750966e-01
7.714285714285714322e-03,5.145041887597093799e-01,4.022205542361840247e-01,3.373212792697588558e-01,1.931812550420371156e-03,4.771972992111750966e-01
7.857142857142857678e-03,5.142499976377751247e-01,3.990784905131891103e-01,3.341270578974412930e-01,1.963034903774867664e-03,4.771972992111750966e-01
8.000000000000000167e-03,5.140506718438756506e-01,3.964608086087657579e-01,3.314676205392729225e-01,1.984988257898558876e-03,4.771972992111750966e-01
