TSS_max,LCOW,SEC,Ener_aeration,SEC_electroNP,Ne_SEC
3.599999999999999728e-02,5.412473060719683593e-01,7.074347755083276734e-01,6.427156211270418362e-01,2.302701194290942589e-03,4.771972992111750966e-01
3.673684210526315802e-02,5.189329315483041105e-01,4.586664852800905190e-01,3.939467853247496931e-01,2.025589189982927776e-03,4.771972992111750966e-01
3.747368421052631182e-02,5.181036544451204096e-01,4.288495781024825315e-01,3.643846235066827144e-01,1.493050750563777252e-03,4.771972992111750966e-01
3.821052631578947256e-02,5.181032772074934956e-01,4.282712808979632357e-01,3.638043477469486420e-01,1.487892390163263450e-03,4.771972992111750966e-01
3.894736842105263330e-02,5.181032772074936066e-01,4.282712749478230219e-01,3.638043417752291342e-01,1.487892337849617630e-03,4.771972992111750966e-01
3.968421052631578710e-02,5.181032772074936066e-01,4.282712689976828635e-01,3.638043358035096264e-01,1.487892285535971811e-03,4.771972992111750966e-01
4.042105263157894784e-02,5.181032772074953829e-01,4.282712670331218496e-01,3.638043338318254216e-01,1.487892268261958861e-03,4.771972992111750966e-01
4.115789473684210165e-02,5.181032771865851094e-01,4.282712659968240243e-01,3.638043327914996516e-01,1.487892261470584541e-03,4.771972992111750966e-01
4.189473684210526239e-02,5.181032771970407458e-01,4.282712655369494414e-01,3.638043323300917953e-01,1.487892256267545586e-03,4.771972992111750966e-01
4.263157894736842313e-02,5.181032772074963821e-01,4.282712650770748586e-01,3.638043318686839944e-01,1.487892251064506849e-03,4.771972992111750966e-01
4.336842105263157693e-02,5.181032772074963821e-01,4.282712647743758816e-01,3.638043315648885612e-01,1.487892248401453911e-03,4.771972992111750966e-01
4.410526315789473767e-02,5.181032771238532897e-01,4.282712640573287932e-01,3.638043308441604173e-01,1.487892251378749621e-03,4.771972992111750966e-01
4.484210526315789147e-02,5.181032788044120929e-01,4.282712898902830134e-01,3.638043560460177406e-01,1.487893057720339040e-03,4.771972992111750966e-01
4.557894736842105221e-02,5.181032772074954940e-01,4.282712641608523718e-01,3.638043309491391097e-01,1.487892243008722077e-03,4.771972992111750966e-01
4.631578947368421295e-02,5.181032772074926074e-01,4.282712650841911106e-01,3.638043318802491877e-01,1.487892246708137417e-03,4.771972992111750966e-01
4.705263157894737369e-02,5.181032772074929404e-01,4.282712639094712337e-01,3.638043306968461454e-01,1.487892240798752239e-03,4.771972992111750966e-01
4.778947368421052749e-02,5.181032772074932735e-01,4.282712638107578629e-01,3.638043305977745612e-01,1.487892239931264083e-03,4.771972992111750966e-01
4.852631578947368129e-02,5.181032772074934956e-01,4.282712637252329424e-01,3.638043305119401105e-01,1.487892239178389758e-03,4.771972992111750966e-01
4.926315789473684204e-02,5.181032772074920523e-01,4.282712636504112380e-01,3.638043304368485664e-01,1.487892238519018112e-03,4.771972992111750966e-01
5.000000000000000278e-02,5.325060464398492233e-01,4.549562910766409840e-01,3.884546549573886787e-01,2.469560539141314910e-03,4.771972992111750966e-01
