Immersion Depth (in),Oxygen Mass Flowrate(lb/hr),Group No,Capacity
6.019642857,329.9065421,0,100
6,253.271028,0,90
6,188.317757,0,80
6.009821429,134.5794393,0,70
5.990178571,91.12149533,0,60
5.990178571,58.41121495,0,50
5.508928571,324.2990654,1,100
5.508928571,248.1308411,1,90
5.508928571,184.5794393,1,80
5.508928571,132.2429907,1,70
5.499107143,89.71962617,1,60
5.499107143,57.94392523,1,50
4.998214286,317.7570093,2,100
5.008035714,242.5233645,2,90
5.017857143,180.8411215,2,80
5.008035714,129.9065421,2,70
5.008035714,89.25233645,2,60
4.998214286,56.07476636,2,50
4.516964286,311.2149533,3,100
4.507142857,237.3831776,3,90
4.497321429,176.635514,3,80
4.497321429,126.635514,3,70
4.497321429,86.44859813,3,60
4.497321429,55.14018692,3,50
4.00625,304.6728972,4,100
4.00625,232.7102804,4,90
4.00625,172.8971963,4,80
4.00625,123.8317757,4,70
3.996428571,84.57943925,4,60
4.00625,54.20560748,4,50
3.505357143,297.6635514,5,100
3.505357143,228.0373832,5,90
3.505357143,169.1588785,5,80
3.505357143,121.0280374,5,70
3.505357143,82.71028037,5,60
3.505357143,52.80373832,5,50
3.014285714,291.1214953,6,100
3.014285714,222.8971963,6,90
3.014285714,164.953271,6,80
3.004464286,118.6915888,6,70
3.004464286,81.77570093,6,60
3.004464286,51.86915888,6,50
2.503571429,284.5794393,7,100
2.503571429,218.2242991,7,90
2.503571429,161.682243,7,80
2.503571429,115.8878505,7,70
2.503571429,79.43925234,7,60
2.49375,50,7,50
1.992857143,278.0373832,8,100
2.002678571,212.6168224,8,90
1.992857143,157.9439252,8,80
1.992857143,113.0841121,8,70
1.992857143,77.57009346,8,60
2.002678571,49.06542056,8,50
1.491964286,271.4953271,9,100
1.501785714,207.4766355,9,90
1.491964286,154.2056075,9,80
1.501785714,110.2803738,9,70
1.501785714,75.23364486,9,60
1.491964286,48.13084112,9,50
1.010714286,264.953271,10,100
1.010714286,202.3364486,10,90
1.000892857,150.9345794,10,80
0.991071429,107.9439252,10,70
1.000892857,73.36448598,10,60
1.000892857,46.72897196,10,50
0.509821429,258.411215,11,100
0.5,197.6635514,11,90
0.509821429,146.728972,11,80
0.5,105.6074766,11,70
0.490178571,71.96261682,11,60
0.5,45.3271028,11,50
-0.010714286,251.4018692,12,100
-0.000892857,192.5233645,12,90
-0.010714286,142.9906542,12,80
-0.020535714,102.8037383,12,70
-0.010714286,70.56074766,12,60
-0.010714286,45.3271028,12,50
-0.491964286,244.3925234,13,100
-0.491964286,187.3831776,13,90
-0.501785714,139.7196262,13,80
-0.501785714,100,13,70
-0.511607143,68.69158879,13,60
-0.501785714,43.45794393,13,50
-0.992857143,238.317757,14,100
-1.0125,182.2429907,14,90
-1.002678571,135.5140187,14,80
-1.002678571,96.72897196,14,70
-0.992857143,65.88785047,14,60
-1.022321429,42.52336449,14,50
-1.503571429,231.7757009,15,100
-1.49375,178.0373832,15,90
-1.513392857,131.7757009,15,80
-1.513392857,94.85981308,15,70
-1.513392857,64.95327103,15,60
-1.503571429,41.58878505,15,50
-1.994642857,225.7009346,16,100
-1.994642857,172.4299065,16,90
-2.004464286,128.0373832,16,80
-2.004464286,92.05607477,16,70
-2.004464286,63.08411215,16,60
-2.004464286,40.18691589,16,50
-2.495535714,218.2242991,17,100
-2.505357143,167.7570093,17,90
-2.515178571,124.7663551,17,80
-2.505357143,89.25233645,17,70
-2.505357143,61.68224299,17,60
-2.515178571,39.25233645,17,50
-3.016071429,211.682243,18,100
-3.016071429,162.1495327,18,90
-3.00625,121.0280374,18,80
-3.016071429,86.44859813,18,70
-3.00625,59.34579439,18,60
-3.016071429,37.38317757,18,50
-3.507142857,205.1401869,19,100
-3.497321429,157.4766355,19,90
-3.507142857,117.7570093,19,80
-3.507142857,84.11214953,19,70
-3.507142857,57.00934579,19,60
-3.507142857,36.44859813,19,50
-4.008035714,199.0654206,20,100
-4.008035714,152.3364486,20,90
-3.998214286,113.5514019,20,80
-3.988392857,81.77570093,20,70
-4.017857143,56.07476636,20,60
-4.017857143,35.98130841,20,50
-4.508928571,192.5233645,21,100
-4.499107143,147.1962617,21,90
-4.499107143,109.8130841,21,80
-4.499107143,78.5046729,21,70
-4.499107143,54.20560748,21,60
-4.499107143,34.11214953,21,50
-4.744642857,189.2523364,22,100
-4.734821429,144.3925234,22,90
-4.734821429,108.411215,22,80
-4.715178571,77.57009346,22,70
-4.725,53.73831776,22,60
-4.734821429,34.57943925,22,50
