Immersion Depth (in),oxygen,Group No,Capacity,pixel index,Power Drawn (HP)
5.935119048,327.2411389,0,100,0.934974683,84.14772143
5.935119048,258.2641657,0,90,0.737897616,66.41078547
5.935119048,198.082914,0,80,0.565951183,50.93560646
5.944848901,147.1603163,0,70,0.420458047,37.84122419
5.915659341,103.644642,0,60,0.296127549,26.65147937
5.935119048,68.92468902,0,50,0.196927683,17.72349146
5.370787546,320.760081,1,100,0.916457374,82.48116369
5.370787546,252.7089733,1,90,0.722025638,64.98230742
5.380517399,193.9165196,1,80,0.554047199,49.8642479
5.361057692,143.4568547,1,70,0.409876728,36.88890549
5.370787546,101.3299784,1,60,0.289514224,26.05628016
5.370787546,67.07295819,1,50,0.191637023,17.24733211
4.806456044,313.3531577,2,100,0.895294736,80.57652627
4.79672619,247.1537808,2,90,0.706153659,63.55382935
4.79672619,190.213058,2,80,0.54346588,48.9119292
4.79672619,141.1421911,2,70,0.403263403,36.29370628
4.806456044,99.94118032,2,60,0.285546229,25.69916065
4.806456044,65.22122737,2,50,0.186346364,16.77117275
4.232394689,307.3350326,3,100,0.878100093,79.02900838
4.232394689,241.5985883,3,90,0.690281681,62.12535128
4.242124542,185.5837309,3,80,0.530239231,47.7215308
4.242124542,137.4387295,3,70,0.392682084,35.34138759
4.232394689,97.62651679,3,60,0.278932905,25.10396146
4.242124542,64.75829466,3,50,0.185023699,16.65213291
3.668063187,300.391042,4,100,0.85826012,77.2434108
3.668063187,236.5063286,4,90,0.675732367,60.81591307
3.668063187,181.8802693,4,80,0.519657912,46.76921211
3.668063187,134.6611333,4,70,0.384746095,34.62714856
3.67779304,95.77478596,4,60,0.273642246,24.6278021
3.668063187,63.36949655,4,50,0.181055704,16.2950134
3.103731685,292.9841187,5,100,0.837097482,75.33877338
3.103731685,231.4140688,5,90,0.661183054,59.50647483
3.103731685,178.1768076,5,80,0.509076593,45.81689338
3.094001832,131.883537,5,70,0.376810106,33.91290951
3.103731685,92.99718973,5,60,0.265706256,23.91356307
3.094001832,61.51776572,5,50,0.175765045,15.81885404
2.539400183,287.4289262,6,100,0.821225503,73.91029531
2.52967033,225.8588763,6,90,0.645311075,58.07799676
2.52967033,173.5474806,6,80,0.495849945,44.62649501
2.539400183,129.5688735,6,70,0.370196781,33.31771033
2.52967033,91.1454589,6,60,0.260415597,23.43740372
2.539400183,61.05483302,6,50,0.17444238,15.69981421
1.955608974,280.0220029,7,100,0.800062865,72.00565789
1.965338828,220.3036839,7,90,0.629439097,56.64951872
1.965338828,169.8440189,7,80,0.485268625,43.67417629
1.965338828,126.3283446,7,70,0.360938127,32.48443147
1.965338828,88.83079537,7,60,0.253802272,22.84220452
1.965338828,59.20310219,7,50,0.169151721,15.22365485
1.391277473,273.0780123,8,100,0.780222892,70.22006031
1.391277473,215.6743568,8,90,0.616212448,55.45912032
1.391277473,166.1405573,8,80,0.474687307,42.72185759
1.391277473,123.0878156,8,70,0.351679473,31.65115258
1.381547619,86.97906455,8,60,0.248511613,22.36604517
1.391277473,57.35137137,8,50,0.163861061,14.7474955
0.836675824,266.1340217,9,100,0.760382919,68.43446272
0.836675824,210.1191643,9,90,0.600340469,54.03064225
0.826945971,161.9741629,9,80,0.462783323,41.65049903
0.836675824,119.8472867,9,70,0.342420819,30.81787372
0.836675824,85.12733373,9,60,0.243220954,21.88988582
0.836675824,56.88843866,9,50,0.162538396,14.62845566
0.252884615,260.1158966,10,100,0.743188276,66.88694484
0.252884615,204.5639719,10,90,0.584468491,52.6021642
0.252884615,157.8077686,10,80,0.450879339,40.5791405
0.252884615,117.0696904,10,70,0.33448483,30.10363467
0.252884615,82.8126702,10,60,0.236607629,21.29468662
0.262614469,55.03670784,10,50,0.157247737,14.1522963
-0.301717033,253.171906,11,100,0.723348303,65.10134726
-0.311446886,199.9346448,11,90,0.571241842,51.41176581
-0.311446886,154.1043069,11,80,0.44029802,39.62682177
-0.311446886,114.2920942,11,70,0.326548841,29.38939565
-0.32117674,80.49800667,11,60,0.229994305,20.69948743
-0.32117674,54.11084243,11,50,0.154602407,13.91421662
-0.875778388,246.6908481,12,100,0.704830995,63.43478951
-0.875778388,194.3794523,12,90,0.555369864,49.98328773
-0.875778388,149.4749798,12,80,0.427071371,38.43642338
-0.875778388,110.5886326,12,70,0.315967522,28.43707695
-0.885508242,78.64627584,12,60,0.224703645,20.22332807
-0.875778388,52.2591116,12,50,0.149311747,13.43805727
-1.459569597,240.2097902,13,100,0.686313686,61.76823177
-1.449839744,188.8242599,13,90,0.539497885,48.55480969
