DeCathodic Potential,Area-Volume,Temperature,Time,Ener
-1.29495,0.105,25,5,0.328
-1.2,0.08,35,5,0.03665
-1.2,0.13,35,5,0.212
-1.05,0.064175,25,5,0.0425
-1.05,0.105,8.67,5,0.034
-1.05,0.105,41.33,5,0.0155
-1.05,0.145825,25,5,0.027
-0.9,0.08,35,5,0.0095
-0.9,0.13,35,5,0.009
-0.80505,0.105,25,5,0.013
-1.29495,0.105,25,10,0.3335
-1.2,0.08,15,10,0.011835585
-1.2,0.08,35,10,0.0418
-1.2,0.13,35,10,0.1985
-1.05,0.064175,25,10,0.0505
-1.05,0.105,8.67,10,0.039
-1.05,0.105,41.33,10,0.022
-1.05,0.145825,25,10,0.0305
-0.9,0.08,15,10,0.0155
-0.9,0.08,35,10,0.0115
-0.9,0.13,15,10,0.007
-0.9,0.13,35,10,0.013
-0.80505,0.105,25,10,0.0145
-1.29495,0.105,25,20,0.3815
-1.2,0.08,15,20,0.013075
-1.2,0.08,35,20,0.0455
-1.2,0.13,35,20,0.164
-1.05,0.064175,25,20,0.0475
-1.05,0.105,8.67,20,0.04
-1.05,0.105,25,20,0.035433333
-1.05,0.105,41.33,20,0.028
-1.05,0.145825,25,20,0.0285
-0.9,0.08,15,20,0.0165
-0.9,0.08,35,20,0.012
-0.9,0.13,15,20,0.0095
-0.9,0.13,35,20,0.0185
-0.80505,0.105,25,20,0.0165
-1.29495,0.105,25,30,0.461
-1.2,0.08,15,30,0.014
-1.2,0.08,35,30,0.0494
-1.2,0.13,35,30,0.179
-1.05,0.064175,25,30,0.0545
-1.05,0.105,8.67,30,0.042
-1.05,0.105,25,30,0.039083333
-1.05,0.105,41.33,30,0.0365
-1.05,0.145825,25,30,0.033
-0.9,0.08,15,30,0.017
-0.9,0.08,35,30,0.0135
-0.9,0.13,15,30,0.0185
-0.9,0.13,35,30,0.0255
-0.80505,0.105,25,30,0.019
