Cathodic Potential,Area-Volume,Temperature,Time,Ener
-1.2,0.13,35,5,0.253
-0.9,0.08,35,5,0.006
-0.9,0.13,35,5,0.011
-1.05,0.105,25,5,0.023
-1.05,0.105,25,5,0.0179
-0.9,0.13,15,5,0.005
-1.05,0.105,25,5,0.016
-1.05,0.105,25,5,0.008
-1.2,0.13,15,5,0.191
-1.05,0.105,25,5,0.017
-1.2,0.08,35,5,0.036
-1.05,0.105,25,5,0.024
-1.2,0.08,15,5,0.012
-1.05,0.105,25,5,0.03
-0.9,0.13,35,5,0.007
-0.9,0.08,15,5,0.013
-1.2,0.08,35,5,0.0373
-0.9,0.08,35,5,0.013
-1.2,0.13,35,5,0.171
-1.05,0.105,8.67,5,0.034
-1.05,0.064175,25,5,0.048
-0.80505,0.105,25,5,0.012
-1.05,0.105,41.33,5,0.021
-0.80505,0.105,25,5,0.014
-1.05,0.105,25,5,0.078
-1.05,0.145825,25,5,0.023
-1.05,0.105,25,5,0.031
-1.05,0.105,41.33,5,0.01
-1.05,0.105,8.67,5,0.034
-1.05,0.105,25,5,0.023
-1.29495,0.105,25,5,0.323
-1.05,0.105,25,5,0.016
-1.29495,0.105,25,5,0.333
-1.05,0.064175,25,5,0.037
-1.05,0.145825,25,5,0.031
-1.2,0.08,15,10,0.013
-0.9,0.13,15,10,0.006
-1.2,0.13,35,10,0.262
-0.9,0.08,15,10,0.017
-0.9,0.08,35,10,0.008
-0.9,0.13,35,10,0.014
-1.05,0.105,25,10,0.04
-1.05,0.105,25,10,0.031
-1.05,0.105,25,10,0.0245
-0.9,0.13,15,10,0.008
-1.05,0.105,25,10,0.022
-1.05,0.105,25,10,0.013
-1.2,0.13,15,10,0.254
-1.05,0.105,25,10,0.024
-1.2,0.08,35,10,0.035
-1.2,0.08,15,10,0.011
-1.05,0.105,25,10,0.035
-0.9,0.13,35,10,0.012
-0.9,0.08,15,10,0.014
-1.2,0.08,35,10,0.0486
-0.9,0.08,35,10,0.015
-1.2,0.13,35,10,0.135
-1.05,0.105,8.67,10,0.037
-1.05,0.064175,25,10,0.056
-0.80505,0.105,25,10,0.014
-1.05,0.105,41.33,10,0.028
-0.80505,0.105,25,10,0.015
-1.05,0.105,25,10,0.078
-1.05,0.145825,25,10,0.035
-1.05,0.105,25,10,0.032
-1.05,0.105,41.33,10,0.016
-1.05,0.105,8.67,10,0.041
-1.05,0.105,25,10,0.031
-1.29495,0.105,25,10,0.274
-1.05,0.105,25,10,0.019
-1.29495,0.105,25,10,0.393
-1.05,0.064175,25,10,0.045
-1.05,0.145825,25,10,0.026
-1.2,0.08,15,20,0.01615
-0.9,0.13,15,20,0.008
-1.2,0.13,35,20,0.223
-0.9,0.08,15,20,0.017
-0.9,0.08,35,20,0.01
-0.9,0.13,35,20,0.016
-1.05,0.105,25,20,0.044
-1.05,0.105,25,20,0.037
-1.05,0.105,25,20,0.0332
-0.9,0.13,15,20,0.011
-1.05,0.105,25,20,0.033
-1.05,0.105,25,20,0.011
-1.2,0.13,15,20,0.317
-1.05,0.105,25,20,0.03
-1.2,0.08,35,20,0.04
-1.05,0.105,25,20,0.045
-1.2,0.08,15,20,0.01
-1.05,0.105,25,20,0.035
-0.9,0.13,35,20,0.021
-0.9,0.08,15,20,0.016
-1.2,0.08,35,20,0.051
-0.9,0.08,35,20,0.014
-1.2,0.13,35,20,0.105
-1.05,0.105,8.67,20,0.038
-1.05,0.064175,25,20,0.053
-0.80505,0.105,25,20,0.016
-1.05,0.105,41.33,20,0.031
-0.80505,0.105,25,20,0.017
-1.05,0.105,25,20,0.068
-1.05,0.145825,25,20,0.039
-1.05,0.105,25,20,0.034
-1.05,0.105,41.33,20,0.025
-1.05,0.105,8.67,20,0.042
-1.05,0.105,25,20,0.033
-1.29495,0.105,25,20,0.313
-1.05,0.105,25,20,0.022
-1.29495,0.105,25,20,0.45
-1.05,0.064175,25,20,0.042
-1.05,0.145825,25,20,0.018
-1.2,0.08,15,30,0.018
-0.9,0.13,15,30,0.022
-1.2,0.13,35,30,0.241
-0.9,0.08,15,30,0.017
-0.9,0.08,35,30,0.011
-0.9,0.13,35,30,0.02
-1.05,0.105,25,30,0.048
-1.05,0.105,25,30,0.041
-1.05,0.105,25,30,0.041
-0.9,0.13,15,30,0.015
-1.05,0.105,25,30,0.04
-1.05,0.105,25,30,0.014
-1.2,0.13,15,30,0.431
-1.05,0.105,25,30,0.04
-1.2,0.08,35,30,0.049
-1.05,0.105,25,30,0.047
-1.2,0.08,15,30,0.01
-1.05,0.105,25,30,0.039
-0.9,0.13,35,30,0.031
-0.9,0.08,15,30,0.017
-1.2,0.08,35,30,0.0498
-0.9,0.08,35,30,0.016
-1.2,0.13,35,30,0.117
-1.05,0.105,8.67,30,0.04
-1.05,0.064175,25,30,0.061
-0.80505,0.105,25,30,0.02
-1.05,0.105,41.33,30,0.04
-0.80505,0.105,25,30,0.018
-1.05,0.105,25,30,0.064
-1.05,0.145825,25,30,0.046
-1.05,0.105,25,30,0.034
-1.05,0.105,41.33,30,0.033
-1.05,0.105,8.67,30,0.044
-1.05,0.105,25,30,0.035
-1.29495,0.105,25,30,0.382
-1.05,0.105,25,30,0.026
-1.29495,0.105,25,30,0.54
-1.05,0.064175,25,30,0.048
-1.05,0.145825,25,30,0.02
