Cathodic Potential,Area-Volume,Temperature,Time,Mg
-1.29495,0.105,25,5,2.1245
-1.2,0.08,15,5,
-1.2,0.08,35,5,1.0855
-1.2,0.13,15,5,
-1.2,0.13,35,5,
-1.05,0.064175,25,5,1.407
-1.05,0.105,8.67,5,1.6
-1.05,0.105,25,5,
-1.05,0.105,41.33,5,1.434
-1.05,0.145825,25,5,2.3235
-0.9,0.08,15,5,
-0.9,0.08,35,5,2.9175
-0.9,0.13,15,5,
-0.9,0.13,35,5,0.6195
-0.80505,0.105,25,5,1.689
-1.29495,0.105,25,10,2.171
-1.2,0.08,15,10,1.718658537
-1.2,0.08,35,10,1.205
-1.2,0.13,15,10,
-1.2,0.13,35,10,
-1.05,0.064175,25,10,1.2975
-1.05,0.105,8.67,10,1.4565
-1.05,0.105,25,10,
-1.05,0.105,41.33,10,1.6925
-1.05,0.145825,25,10,2.48
-0.9,0.08,15,10,3.1075
-0.9,0.08,35,10,2.0785
-0.9,0.13,15,10,3.0415
-0.9,0.13,35,10,0.472
-0.80505,0.105,25,10,1.8755
-1.29495,0.105,25,20,2.84
-1.2,0.08,15,20,2.5235
-1.2,0.08,35,20,1.6805
-1.2,0.13,15,20,
-1.2,0.13,35,20,
-1.05,0.064175,25,20,1.3485
-1.05,0.105,8.67,20,1.86
-1.05,0.105,25,20,2.784833333
-1.05,0.105,41.33,20,3.268
-1.05,0.145825,25,20,4.735
-0.9,0.08,15,20,
-0.9,0.08,35,20,3.9025
-0.9,0.13,15,20,8.18
-0.9,0.13,35,20,2.52
-0.80505,0.105,25,20,2.6295
-1.29495,0.105,25,30,9.6255
-1.2,0.08,15,30,5.1975
-1.2,0.08,35,30,3.8735
-1.2,0.13,15,30,32.035
-1.2,0.13,35,30,
-1.05,0.064175,25,30,1.4585
-1.05,0.105,8.67,30,2.744
-1.05,0.105,25,30,7.516
-1.05,0.105,41.33,30,10.927
-1.05,0.145825,25,30,13.02
-0.9,0.08,15,30,3.431
-0.9,0.08,35,30,5.378
-0.9,0.13,15,30,17.8
-0.9,0.13,35,30,14.2195
-0.80505,0.105,25,30,6.187
