Cathodic Potential,Area-Volume,Temperature,Time,Mg
-1.2,0.08,15,5,
-1.2,0.13,15,5,
-0.9,0.13,15,5,
-1.2,0.13,35,5,
-0.9,0.08,15,5,
-0.9,0.08,35,5,3.805
-0.9,0.13,35,5,0.615
-1.05,0.105,25,5,
-1.05,0.105,25,5,1.8
-1.05,0.105,25,5,0.649
-0.9,0.13,15,5,2.14
-1.05,0.105,25,5,2.195
-1.05,0.105,25,5,1.22
-1.2,0.13,15,5,0.732
-1.05,0.105,25,5,0.639
-1.2,0.08,35,5,1.405
-1.05,0.105,25,5,2.176
-1.2,0.08,15,5,0.537
-1.05,0.105,25,5,2.268
-0.9,0.13,35,5,0.624
-0.9,0.08,15,5,2.09
-1.2,0.08,35,5,0.766
-0.9,0.08,35,5,2.03
-1.2,0.13,35,5,
-1.05,0.105,8.67,5,1.93
-1.05,0.064175,25,5,2.146
-0.80505,0.105,25,5,2.5
-1.05,0.105,41.33,5,1.878
-0.80505,0.105,25,5,0.878
-1.05,0.105,25,5,2
-1.05,0.145825,25,5,0.707
-1.05,0.105,25,5,1.08
-1.05,0.105,41.33,5,0.99
-1.05,0.105,8.67,5,1.27
-1.05,0.105,25,5,1.078
-1.29495,0.105,25,5,3.537
-1.05,0.105,25,5,3.678
-1.29495,0.105,25,5,0.712
-1.05,0.064175,25,5,0.668
-1.05,0.145825,25,5,3.94
-1.2,0.08,15,10,2.907
-1.2,0.13,15,10,
-0.9,0.13,15,10,3.595
-1.2,0.13,35,10,
-0.9,0.08,15,10,4.195
-0.9,0.08,35,10,1.659
-0.9,0.13,35,10,0.859
-1.05,0.105,25,10,2.63
-1.05,0.105,25,10,1.58
-1.05,0.105,25,10,0.81
-0.9,0.13,15,10,2.488
-1.05,0.105,25,10,2.029
-1.05,0.105,25,10,1.366
-1.2,0.13,15,10,0.995
-1.05,0.105,25,10,0.868
-1.2,0.08,35,10,1.561
-1.05,0.105,25,10,
-1.2,0.08,15,10,0.53
-1.05,0.105,25,10,2.341
-0.9,0.13,35,10,0.085
-0.9,0.08,15,10,2.02
-1.2,0.08,35,10,0.849
-0.9,0.08,35,10,2.498
-1.2,0.13,35,10,
-1.05,0.105,8.67,10,1.84
-1.05,0.064175,25,10,2
-0.80505,0.105,25,10,2.517
-1.05,0.105,41.33,10,2.39
-0.80505,0.105,25,10,1.234
-1.05,0.105,25,10,2.23
-1.05,0.145825,25,10,0.77
-1.05,0.105,25,10,1.117
-1.05,0.105,41.33,10,0.995
-1.05,0.105,8.67,10,1.073
-1.05,0.105,25,10,1.29
-1.29495,0.105,25,10,3.527
-1.05,0.105,25,10,3.67
-1.29495,0.105,25,10,0.815
-1.05,0.064175,25,10,0.595
-1.05,0.145825,25,10,4.19
-1.2,0.08,15,20,4.12
-1.2,0.13,15,20,
-0.9,0.13,15,20,12.39
-1.2,0.13,35,20,
-0.9,0.08,15,20,
-0.9,0.08,35,20,4.815
-0.9,0.13,35,20,2
-1.05,0.105,25,20,3.707
-1.05,0.105,25,20,2.429
-1.05,0.105,25,20,2.098
-0.9,0.13,15,20,3.97
-1.05,0.105,25,20,3.122
-1.05,0.105,25,20,2.585
-1.2,0.13,15,20,2.024
-1.05,0.105,25,20,2.341
-1.2,0.08,35,20,2.215
-1.05,0.105,25,20,2.922
-1.2,0.08,15,20,0.927
-1.05,0.105,25,20,3.766
-0.9,0.13,35,20,3.04
-0.9,0.08,15,20,2.298
-1.2,0.08,35,20,1.146
-0.9,0.08,35,20,2.99
-1.2,0.13,35,20,
-1.05,0.105,8.67,20,2.24
-1.05,0.064175,25,20,2.229
-0.80505,0.105,25,20,3.727
-1.05,0.105,41.33,20,4.341
-0.80505,0.105,25,20,1.532
-1.05,0.105,25,20,2.56
-1.05,0.145825,25,20,1.47
-1.05,0.105,25,20,1.415
-1.05,0.105,41.33,20,2.195
-1.05,0.105,8.67,20,1.48
-1.05,0.105,25,20,1.795
-1.29495,0.105,25,20,4.57
-1.05,0.105,25,20,4.678
-1.29495,0.105,25,20,1.11
-1.05,0.064175,25,20,0.468
-1.05,0.145825,25,20,8
-1.2,0.08,15,30,8.585
-1.2,0.13,15,30,55.39
-0.9,0.13,15,30,24.43
-1.2,0.13,35,30,
-0.9,0.08,15,30,3.902
-0.9,0.08,35,30,6.146
-0.9,0.13,35,30,11.805
-1.05,0.105,25,30,7.61
-1.05,0.105,25,30,7.707
-1.05,0.105,25,30,11.17
-0.9,0.13,15,30,11.17
-1.05,0.105,25,30,6.5
-1.05,0.105,25,30,9.073
-1.2,0.13,15,30,8.68
-1.05,0.105,25,30,8.1
-1.2,0.08,35,30,5.732
-1.05,0.105,25,30,7.22
-1.2,0.08,15,30,1.81
-1.05,0.105,25,30,11.46
-0.9,0.13,35,30,16.634
-0.9,0.08,15,30,2.96
-1.2,0.08,35,30,2.015
-0.9,0.08,35,30,4.61
-1.2,0.13,35,30,
-1.05,0.105,8.67,30,4.073
-1.05,0.064175,25,30,2.351
-0.80505,0.105,25,30,9.024
-1.05,0.105,41.33,30,14.098
-0.80505,0.105,25,30,3.35
-1.05,0.105,25,30,4.64
-1.05,0.145825,25,30,5.7
-1.05,0.105,25,30,3.366
-1.05,0.105,41.33,30,7.756
-1.05,0.105,8.67,30,1.415
-1.05,0.105,25,30,4.37
-1.29495,0.105,25,30,10.1
-1.05,0.105,25,30,8.976
-1.29495,0.105,25,30,9.151
-1.05,0.064175,25,30,0.566
-1.05,0.145825,25,30,20.34
