Cathodic Potential,Area-Volume,Temperature,Time,PR
-1.29495,0.105,25,5,22.88
-1.2,0.08,35,5,29.06
-1.2,0.13,35,5,17.04
-1.05,0.064175,25,5,13.4935
-1.05,0.105,8.67,5,19.585
-1.05,0.105,41.33,5,33.0045
-1.05,0.145825,25,5,32.44
-0.9,0.08,35,5,23.533
-0.9,0.13,35,5,45.2545
-0.80505,0.105,25,5,26.161
-1.29495,0.105,25,10,43.82
-1.2,0.08,15,10,56.1965
-1.2,0.08,35,10,41.8025
-1.2,0.13,35,10,30.595
-1.05,0.064175,25,10,22.5175
-1.05,0.105,8.67,10,31.79
-1.05,0.105,41.33,10,51.24
-1.05,0.145825,25,10,47.375
-0.9,0.08,15,10,22.518
-0.9,0.08,35,10,37.114
-0.9,0.13,15,10,74.32
-0.9,0.13,35,10,58.6795
-0.80505,0.105,25,10,42.93
-1.29495,0.105,25,20,76.575
-1.2,0.08,15,20,71.96
-1.2,0.08,35,20,66.125
-1.2,0.13,35,20,64.945
-1.05,0.064175,25,20,40.224
-1.05,0.105,8.67,20,56.275
-1.05,0.105,25,20,71.52616667
-1.05,0.105,41.33,20,81.275
-1.05,0.145825,25,20,79.7
-0.9,0.08,15,20,43.81
-0.9,0.08,35,20,61.654
-0.9,0.13,15,20,90.11
-0.9,0.13,35,20,85.374
-0.80505,0.105,25,20,69.2085
-1.29495,0.105,25,30,93.2375
-1.2,0.08,15,30,86.29
-1.2,0.08,35,30,85.485
-1.2,0.13,15,30,96.68
-1.2,0.13,35,30,85.13
-1.05,0.064175,25,30,51.764
-1.05,0.105,8.67,30,75.673
-1.05,0.105,25,30,89.27566667
-1.05,0.105,41.33,30,93.5675
-1.05,0.145825,25,30,94.275
-0.9,0.08,15,30,63.23
-0.9,0.08,35,30,81.035
-0.9,0.13,15,30,95.852
-0.9,0.13,35,30,96.215
-0.80505,0.105,25,30,88.605
