Cathodic Potential,Area-Volume,Temperature,Time,PR
-1.2,0.13,35,5,16.74
-0.9,0.08,35,5,26.54
-0.9,0.13,35,5,36.75
-1.05,0.105,25,5,31.05
-1.05,0.105,25,5,43.23
-0.9,0.13,15,5,55.26
-1.05,0.105,25,5,39.85
-1.05,0.105,25,5,40.3
-1.2,0.13,15,5,43
-1.05,0.105,25,5,40.9
-1.2,0.08,35,5,35.94
-1.05,0.105,25,5,35.639
-1.2,0.08,15,5,36.39
-1.05,0.105,25,5,24.135
-0.9,0.13,35,5,53.759
-0.9,0.08,15,5,14.28
-1.2,0.08,35,5,22.18
-0.9,0.08,35,5,20.526
-1.2,0.13,35,5,17.34
-1.05,0.105,8.67,5,20.22
-1.05,0.064175,25,5,12.857
-0.80505,0.105,25,5,27.812
-1.05,0.105,41.33,5,33.459
-0.80505,0.105,25,5,24.51
-1.05,0.105,25,5,21.73
-1.05,0.145825,25,5,36.16
-1.05,0.105,25,5,20.53
-1.05,0.105,41.33,5,32.55
-1.05,0.105,8.67,5,18.95
-1.05,0.105,25,5,27.89
-1.29495,0.105,25,5,18.12
-1.05,0.105,25,5,27.77
-1.29495,0.105,25,5,27.64
-1.05,0.064175,25,5,14.13
-1.05,0.145825,25,5,28.72
-1.2,0.08,15,10,65.1
-0.9,0.13,15,10,80.75
-1.2,0.13,35,10,29.34
-0.9,0.08,15,10,20.45
-0.9,0.08,35,10,42.128
-0.9,0.13,35,10,53.609
-1.05,0.105,25,10,39.699
-1.05,0.105,25,10,44.2
-1.05,0.105,25,10,61.8
-0.9,0.13,15,10,67.89
-1.05,0.105,25,10,55.94
-1.05,0.105,25,10,53.83
-1.2,0.13,15,10,55.94
-1.05,0.105,25,10,53.98
-1.2,0.08,35,10,49.47
-1.2,0.08,15,10,47.293
-1.05,0.105,25,10,41.857
-0.9,0.13,35,10,63.75
-0.9,0.08,15,10,24.586
-1.2,0.08,35,10,34.135
-0.9,0.08,35,10,32.1
-1.2,0.13,35,10,31.85
-1.05,0.105,8.67,10,35
-1.05,0.064175,25,10,22.105
-0.80505,0.105,25,10,43.38
-1.05,0.105,41.33,10,51.05
-0.80505,0.105,25,10,42.48
-1.05,0.105,25,10,32.55
-1.05,0.145825,25,10,45.03
-1.05,0.105,25,10,35.49
-1.05,0.105,41.33,10,51.43
-1.05,0.105,8.67,10,28.58
-1.05,0.105,25,10,38
-1.29495,0.105,25,10,40.5
-1.05,0.105,25,10,43.23
-1.29495,0.105,25,10,47.14
-1.05,0.064175,25,10,22.93
-1.05,0.145825,25,10,49.72
-1.2,0.08,15,20,79.36
-0.9,0.13,15,20,94.36
-1.2,0.13,35,20,60.89
-0.9,0.08,15,20,39.62
-0.9,0.08,35,20,61.278
-0.9,0.13,35,20,83.308
-1.05,0.105,25,20,66.917
-1.05,0.105,25,20,69.699
-1.05,0.105,25,20,84.887
-0.9,0.13,15,20,85.86
-1.05,0.105,25,20,72.17
-1.05,0.105,25,20,82.105
-1.2,0.13,15,20,82.18
-1.05,0.105,25,20,84.96
-1.2,0.08,35,20,73.08
-1.05,0.105,25,20,69.023
-1.2,0.08,15,20,64.56
-1.05,0.105,25,20,74.887
-0.9,0.13,35,20,87.44
-0.9,0.08,15,20,48
-1.2,0.08,35,20,59.17
-0.9,0.08,35,20,62.03
-1.2,0.13,35,20,69
-1.05,0.105,8.67,20,63
-1.05,0.064175,25,20,37.218
-0.80505,0.105,25,20,71.8
-1.05,0.105,41.33,20,82.93
-0.80505,0.105,25,20,66.617
-1.05,0.105,25,20,56.65
-1.05,0.145825,25,20,77.67
-1.05,0.105,25,20,59.77
-1.05,0.105,41.33,20,79.62
-1.05,0.105,8.67,20,49.55
-1.05,0.105,25,20,67.02
-1.29495,0.105,25,20,70.9
-1.05,0.105,25,20,70.226
-1.29495,0.105,25,20,82.25
-1.05,0.064175,25,20,43.23
-1.05,0.145825,25,20,81.73
-1.2,0.08,15,30,91.5
-1.2,0.13,15,30,97.92
-0.9,0.13,15,30,96.744
-1.2,0.13,35,30,80
-0.9,0.08,15,30,57.36
-0.9,0.08,35,30,82.3
-0.9,0.13,35,30,96.22
-1.05,0.105,25,30,86.24
-1.05,0.105,25,30,90.9
-1.05,0.105,25,30,96.07
-0.9,0.13,15,30,94.96
-1.05,0.105,25,30,87.955
-1.05,0.105,25,30,94.887
-1.2,0.13,15,30,95.44
-1.05,0.105,25,30,94.99
-1.2,0.08,35,30,90.22
-1.05,0.105,25,30,89.323
-1.2,0.08,15,30,81.08
-1.05,0.105,25,30,92.4
-0.9,0.13,35,30,96.21
-0.9,0.08,15,30,69.1
-1.2,0.08,35,30,80.75
-0.9,0.08,35,30,79.77
-1.2,0.13,35,30,90.26
-1.05,0.105,8.67,30,84.88
-1.05,0.064175,25,30,50.37
-0.80505,0.105,25,30,88.94
-1.05,0.105,41.33,30,93
-0.80505,0.105,25,30,88.27
-1.05,0.105,25,30,79.023
-1.05,0.145825,25,30,94.8
-1.05,0.105,25,30,84.28
-1.05,0.105,41.33,30,94.135
-1.05,0.105,8.67,30,66.466
-1.05,0.105,25,30,87.64
-1.29495,0.105,25,30,89.64
-1.05,0.105,25,30,87.6
-1.29495,0.105,25,30,96.835
-1.05,0.064175,25,30,53.158
-1.05,0.145825,25,30,93.75
